id_grade,lat_centroide,lon_centroide,populacao,domicilios,bairro,tipo_local,zona,area_km2,municipio,cd_municipio
1KME6170N8934,-21.311291,-42.691568,0,0,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6169N8934,-21.311656,-42.701219,14,5,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6168N8934,-21.312019,-42.710869,3,1,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6167N8934,-21.312383,-42.72052,0,0,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6166N8934,-21.312746,-42.730171,0,0,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6165N8934,-21.313109,-42.739822,5,2,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6189N8933,-21.31332,-42.507813,0,0,Aracati de Minas,distrito urbano,rural,1.0009,Cataguases,3115300
1KME6164N8934,-21.313471,-42.749472,0,0,Cataguarino,distrito urbano,rural,1.0005,Cataguases,3115300
1KME6163N8934,-21.313833,-42.759123,0,0,Cataguarino,distrito rural,rural,1.0005,Cataguases,3115300
1KME6162N8934,-21.314195,-42.768774,0,0,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6176N8933,-21.318106,-42.633272,10,3,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8933,-21.318472,-42.642923,983,345,Quilombo dos Palmares,bairro,rural,1.0007,Cataguases,3115300
1KME6174N8933,-21.318837,-42.652574,346,141,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6173N8933,-21.319203,-42.662225,2,1,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6172N8933,-21.319568,-42.671876,0,0,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6171N8933,-21.319933,-42.681527,0,0,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6170N8933,-21.320297,-42.691178,0,0,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6169N8933,-21.320661,-42.700829,2,1,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6168N8933,-21.321025,-42.71048,19,3,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6167N8933,-21.321388,-42.720131,8,2,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6166N8933,-21.321751,-42.729782,5,2,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6165N8933,-21.322114,-42.739433,7,2,Campinas,localidade rural,rural,1.0006,Cataguases,3115300
1KME6164N8933,-21.322477,-42.749084,0,0,Cataguarino,distrito rural,rural,1.0005,Cataguases,3115300
1KME6188N8932,-21.322696,-42.517067,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6163N8933,-21.322839,-42.758735,0,0,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6162N8933,-21.323201,-42.768386,0,0,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6176N8932,-21.327111,-42.63288,7,1,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8932,-21.327477,-42.642531,1,1,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6174N8932,-21.327843,-42.652182,139,43,Centro,bairro,rural,1.0007,Cataguases,3115300
1KME6173N8932,-21.328208,-42.661833,0,0,Centro,bairro,rural,1.0007,Cataguases,3115300
1KME6172N8932,-21.328573,-42.671485,0,0,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6171N8932,-21.328938,-42.681136,1,1,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6170N8932,-21.329303,-42.690787,0,0,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6169N8932,-21.329667,-42.700439,0,0,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6168N8932,-21.330031,-42.71009,3,2,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6167N8932,-21.330394,-42.719741,0,0,Areia Branca,localidade rural,rural,1.0006,Cataguases,3115300
1KME6166N8932,-21.330757,-42.729393,0,0,Sinimbu,localidade rural,rural,1.0006,Cataguases,3115300
1KME6165N8932,-21.33112,-42.739044,6,2,Sinimbu,localidade rural,rural,1.0006,Cataguases,3115300
1KME6164N8932,-21.331483,-42.748696,0,0,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6188N8931,-21.331701,-42.516671,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6163N8932,-21.331845,-42.758347,0,0,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6187N8931,-21.332071,-42.526322,9,3,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6162N8932,-21.332207,-42.767999,0,0,Dona Euzébia,distrito rural,rural,1.0005,Cataguases,3115300
1KME6186N8931,-21.33244,-42.535973,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6185N8931,-21.332809,-42.545625,0,0,Santana de Cataguases,distrito rural,rural,1.0008,Cataguases,3115300
1KME6176N8931,-21.336117,-42.632487,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8931,-21.336483,-42.642139,0,0,Sereno,distrito rural,rural,1.0007,Cataguases,3115300
1KME6174N8931,-21.336849,-42.65179,3,2,Centro,bairro,rural,1.0007,Cataguases,3115300
1KME6173N8931,-21.337214,-42.661442,11,1,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6172N8931,-21.337579,-42.671093,0,0,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6171N8931,-21.337944,-42.680745,0,0,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6170N8931,-21.338309,-42.690397,0,0,Sereno,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6169N8931,-21.338673,-42.700048,0,0,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6168N8931,-21.339036,-42.7097,7,2,Cataguarino,distrito urbano,rural,1.0006,Cataguases,3115300
1KME6167N8931,-21.3394,-42.719352,0,0,Areia Branca,localidade rural,rural,1.0006,Cataguases,3115300
1KME6166N8931,-21.339763,-42.729004,0,0,Campinas,localidade rural,rural,1.0006,Cataguases,3115300
1KME6165N8931,-21.340126,-42.738655,5,3,Sinimbu,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6164N8931,-21.340489,-42.748307,5,2,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6163N8931,-21.340851,-42.757959,0,0,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6186N8930,-21.341446,-42.535578,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6185N8930,-21.341815,-42.545229,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6184N8930,-21.342184,-42.554881,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6176N8930,-21.345123,-42.632095,4,1,Santana de Cataguases,distrito rural,rural,1.0007,Cataguases,3115300
1KME6175N8930,-21.345489,-42.641747,9,2,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6174N8930,-21.345855,-42.651399,3,2,Sereno,distrito urbano,urbana,1.0007,Cataguases,3115300
1KME6173N8930,-21.34622,-42.66105,35,11,Sereno,distrito urbano,urbana,1.0007,Cataguases,3115300
1KME6172N8930,-21.346585,-42.670702,4,2,Ponte Alta,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6171N8930,-21.34695,-42.680354,4,1,Ponte Alta,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6170N8930,-21.347315,-42.690006,0,0,Ponte Alta,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6169N8930,-21.347679,-42.699658,3,1,Cataguarino,distrito urbano,urbana,1.0006,Cataguases,3115300
1KME6168N8930,-21.348043,-42.70931,4,1,Cataguarino,distrito urbano,urbana,1.0006,Cataguases,3115300
1KME6167N8930,-21.348406,-42.718962,11,3,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6166N8930,-21.348769,-42.728615,0,0,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6165N8930,-21.349132,-42.738267,1,1,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6164N8930,-21.349495,-42.747919,9,4,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6163N8930,-21.349857,-42.757571,17,8,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6162N8930,-21.350219,-42.767223,12,4,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6186N8929,-21.350452,-42.535182,1,1,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6185N8929,-21.350821,-42.544834,1,1,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6184N8929,-21.35119,-42.554486,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6183N8929,-21.351559,-42.564138,2,1,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6182N8929,-21.351927,-42.57379,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6180N8929,-21.352662,-42.593094,2,1,Santana de Cataguases,distrito rural,rural,1.0007,Cataguases,3115300
1KME6179N8929,-21.35303,-42.602746,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6178N8929,-21.353396,-42.612398,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6177N8929,-21.353763,-42.62205,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6176N8929,-21.354129,-42.631702,2,1,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8929,-21.354496,-42.641355,10,2,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6174N8929,-21.354861,-42.651007,2,1,Sereno,distrito urbano,urbana,1.0007,Cataguases,3115300
1KME6173N8929,-21.355227,-42.660659,87,33,Ponte Alta,localidade rural,urbana,1.0007,Cataguases,3115300
1KME6172N8929,-21.355592,-42.670311,26,9,Ponte Alta,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6171N8929,-21.355957,-42.679964,0,0,Ponte Alta,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6170N8929,-21.356321,-42.689616,2,1,Sebastião Adolfo,bairro,urbana,1.0006,Cataguases,3115300
1KME6169N8929,-21.356685,-42.699268,1,1,Cataguarino,distrito urbano,urbana,1.0006,Cataguases,3115300
1KME6168N8929,-21.357049,-42.708921,0,0,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6167N8929,-21.357413,-42.718573,19,5,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6166N8929,-21.357776,-42.728225,0,0,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6165N8929,-21.358139,-42.737878,0,0,Sinimbu,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6164N8929,-21.358501,-42.74753,0,0,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6163N8929,-21.358864,-42.757183,10,6,Sinimbu,localidade rural,rural,1.0005,Cataguases,3115300
1KME6162N8929,-21.359226,-42.766835,36,8,Dona Euzébia,distrito rural,rural,1.0005,Cataguases,3115300
1KME6161N8929,-21.359587,-42.776488,0,0,Dona Euzébia,distrito rural,rural,1.0005,Cataguases,3115300
1KME6185N8928,-21.359827,-42.544438,2,1,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6184N8928,-21.360196,-42.554091,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6183N8928,-21.360565,-42.563743,8,5,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6182N8928,-21.360933,-42.573395,4,2,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6181N8928,-21.361301,-42.583048,8,3,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6180N8928,-21.361669,-42.5927,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6179N8928,-21.362036,-42.602352,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6178N8928,-21.362403,-42.612005,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6177N8928,-21.36277,-42.621657,4,2,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6176N8928,-21.363136,-42.63131,0,0,Sereno,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8928,-21.363502,-42.640962,4,2,Hermenegildo Marote,bairro,rural,1.0007,Cataguases,3115300
1KME6174N8928,-21.363868,-42.650615,30,9,Hermenegildo Marote,bairro,urbana,1.0007,Cataguases,3115300
1KME6173N8928,-21.364233,-42.660268,259,96,São Diniz,bairro,urbana,1.0007,Cataguases,3115300
1KME6172N8928,-21.364598,-42.66992,629,243,São Diniz,bairro,urbana,1.0006,Cataguases,3115300
1KME6171N8928,-21.364963,-42.679573,593,245,Sebastião Adolfo,bairro,urbana,1.0006,Cataguases,3115300
1KME6170N8928,-21.365328,-42.689225,292,113,Sebastião Adolfo,bairro,urbana,1.0006,Cataguases,3115300
1KME6169N8928,-21.365692,-42.698878,3,1,Cataguarino,distrito urbano,urbana,1.0006,Cataguases,3115300
1KME6168N8928,-21.366056,-42.708531,15,4,Jardim Bandeirantes I,bairro,urbana,1.0006,Cataguases,3115300
1KME6167N8928,-21.366419,-42.718184,18,5,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6166N8928,-21.366783,-42.727836,0,0,Barão de Camargos,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6165N8928,-21.367145,-42.737489,0,0,Sinimbu,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6164N8928,-21.367508,-42.747142,11,3,Pedra Linda,localidade rural,rural,1.0005,Cataguases,3115300
1KME6163N8928,-21.36787,-42.756795,0,0,Pedra Linda,localidade rural,rural,1.0005,Cataguases,3115300
1KME6162N8928,-21.368232,-42.766448,19,4,São Manoel do Guaiaçu,distrito urbano,rural,1.0005,Cataguases,3115300
1KME6186N8927,-21.368465,-42.53439,3,1,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6161N8928,-21.368594,-42.776101,0,0,Dona Euzébia,distrito rural,rural,1.0005,Cataguases,3115300
1KME6185N8927,-21.368834,-42.544043,4,2,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6184N8927,-21.369203,-42.553696,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6183N8927,-21.369571,-42.563348,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6182N8927,-21.36994,-42.573001,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6181N8927,-21.370308,-42.582654,7,2,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6180N8927,-21.370675,-42.592306,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6179N8927,-21.371043,-42.601959,13,6,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6178N8927,-21.37141,-42.611612,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6177N8927,-21.371776,-42.621265,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6176N8927,-21.372143,-42.630917,1,1,Hermenegildo Marote,bairro,rural,1.0007,Cataguases,3115300
1KME6175N8927,-21.372509,-42.64057,63,23,Hermenegildo Marote,bairro,rural,1.0007,Cataguases,3115300
1KME6174N8927,-21.372874,-42.650223,6,2,Hermenegildo Marote,bairro,urbana,1.0007,Cataguases,3115300
1KME6173N8927,-21.37324,-42.659876,2,1,São João,bairro,urbana,1.0007,Cataguases,3115300
1KME6172N8927,-21.373605,-42.669529,581,221,Hermenegildo Marote,bairro,urbana,1.0006,Cataguases,3115300
1KME6171N8927,-21.37397,-42.679182,3154,1250,São Sebastião,bairro,urbana,1.0006,Cataguases,3115300
1KME6170N8927,-21.374334,-42.688835,4660,1789,Pouso Alegre,bairro,urbana,1.0006,Cataguases,3115300
1KME6169N8927,-21.374699,-42.698488,4084,1571,Jardim Bandeirantes I,bairro,urbana,1.0006,Cataguases,3115300
1KME6168N8927,-21.375063,-42.708141,2197,883,Horto Florestal,bairro,urbana,1.0006,Cataguases,3115300
1KME6167N8927,-21.375426,-42.717794,15,4,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6166N8927,-21.375789,-42.727447,6,2,Imê Farage,bairro,urbana,1.0006,Cataguases,3115300
1KME6165N8927,-21.376152,-42.7371,6,2,Imê Farage,bairro,urbana,1.0006,Cataguases,3115300
1KME6164N8927,-21.376515,-42.746753,12,3,Pedra Linda,localidade rural,rural,1.0005,Cataguases,3115300
1KME6163N8927,-21.376877,-42.756407,14,5,Pedra Linda,localidade rural,rural,1.0005,Cataguases,3115300
1KME6162N8927,-21.377239,-42.76606,29,10,São Manoel do Guaiaçu,distrito urbano,rural,1.0005,Cataguases,3115300
1KME6186N8926,-21.377472,-42.533995,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6161N8927,-21.377601,-42.775713,5,2,São Manoel do Guaiaçu,distrito urbano,rural,1.0005,Cataguases,3115300
1KME6185N8926,-21.377841,-42.543647,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6184N8926,-21.37821,-42.5533,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6183N8926,-21.378578,-42.562953,11,3,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6182N8926,-21.378946,-42.572606,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6181N8926,-21.379314,-42.582259,3,2,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6180N8926,-21.379682,-42.591912,1,1,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6179N8926,-21.380049,-42.601566,3,2,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6178N8926,-21.380416,-42.611219,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
